"SpeciesAuthor","MatrixPopulation","Lon","Lat"
"Actaea_spicata","Site A",17.6166666666667,58.95
"Actaea_spicata","Site B",17.55,58.9833333333333
"Adenocarpus_gibbsianus","Donana",-6.43333333333333,37.0333333333333
"Adenocarpus_gibbsianus","Hinojos",-6.36666666666667,37.2833333333333
"Adenocarpus_gibbsianus","Palos de la Frontera",-6.88333333333333,37.2166666666667
"Agrimonia_eupatoria","A",17.1333333333333,58.9333333333333
"Agrimonia_eupatoria","B",17.1333333333333,58.9333333333333
"Anarrhinum_fruticosum","Crevillente I",-0.8,38.2333333333333
"Arabis_fecunda","Charleys Gulch",-114.016861111111,46.2509444444444
"Arabis_fecunda","Lime Gulch",-112.801277777778,45.3848055555556
"Arabis_fecunda","Vipond park",-112.867194444444,45.6835
"Arenaria_bolosii","Puig de Massanella",2.8,39.8
"Armeria_merinoi","Melide",-8,42.95
"Armeria_merinoi","Torques",-7.96666666666667,42.9666666666667
"Aster_pyrenaeus","Bulnes",-4.81666666666667,43.2166666666667
"Astragalus_scaphoides","Haynes Creek",-113.016666666667,45.0666666666667
"Astragalus_scaphoides","Sheep Corral Gulch",-113.7,45
"Astragalus_scaphoides_2","Haynes Creek",-113.7,45.8666666666667
"Astragalus_scaphoides_2","McDevitt Creek",-113.7,45.8666666666667
"Astragalus_scaphoides_2","Sheep Corral Gulch",-113.7,45
"Astragalus_tremolsianus","Sierra de Grador",-2.76666666666667,36.8666666666667
"Astragalus_tyghensis","Site 10",-121.316666666667,45.1666666666667
"Astragalus_tyghensis","Site 13",-121.316666666667,45.15
"Astragalus_tyghensis","Site 25",-121.183333333333,45.2333333333333
"Astragalus_tyghensis","Site 4",-121.316666666667,45.1666666666667
"Astragalus_tyghensis","Site 41",-121.1,45.25
"Balsamorhiza_sagittata","Mount Jumbo",-113.95,46.8833333333333
"Brassica_insularis","Calcina",9.35,41.7166666666667
"Brassica_insularis","Corbaghiola",9.13333333333333,42.3166666666667
"Brassica_insularis","Inzecca",9.26666666666667,42.1
"Brassica_insularis","Teghime",9.43333333333333,42.7833333333333
"Cheirolophus_metlesicsii","Barranco de Anavingo",-16.4166666666667,28.3833333333333
"Cirsium_pitcheri_3","Indiana Dunes West Beach",-87.2,41.6166666666667
"Cirsium_pitcheri_4","CiPi 1",-87.2,41.6166666666667
"Cirsium_pitcheri_4","CiPi 2",-87,41.6666666666667
"Cirsium_pitcheri_4","CiPi 3",-87.25,41.6166666666667
"Cirsium_pitcheri_6","Illinois Beach State Park",-87.8,42.4166666666667
"Cirsium_pitcheri_8","Wilderness State Park",-84.934,45.717
"Cirsium_undulatum","Hays",-99.05,38.1333333333333
"Cleistes_divaricata_var._divaricata","Big Island",-78.3,34.0833333333333
"Corallorhiza_trifida","Ordesa",0.0833333333333333,42.6333333333333
"Cypripedium_calceolus","Oparzelisko",22.65,53.2666666666667
"Cypripedium_calceolus","Pogorzaly",22.65,53.2666666666667
"Cypripedium_calceolus_2","Sallent",0.350777777777778,42.7669722222222
"Cypripedium_fasciculatum","Region 3",-123.516666666667,42.3333333333333
"Cypripedium_fasciculatum","Region 4",-123.166666666667,42.25
"Cypripedium_fasciculatum","Region 5",-122.45,42.3333333333333
"Dicerandra_frutescens","Fireline Edge 1 (Pop 0)",-81.35075,27.1506111111111
"Dicerandra_frutescens","Fireline Edge 2 (Pop 11)",-81.3506666666667,27.1507777777778
"Dicerandra_frutescens","Oak-hickory scrub 1 (Pop 10)",-81.3506111111111,27.1509444444444
"Dicerandra_frutescens","Oak-hickory scrub 3 (Pop 19)",-81.3506666666667,27.1507777777778
"Dicerandra_frutescens","Sand pine scrub 1 (Pop 2)",-81.3506666666667,27.1507777777778
"Dicerandra_frutescens","Sand pine scrub 2 (Pop 4)",-81.3506666666667,27.1507777777778
"Dicerandra_frutescens","Yard Edge (Pop 24)",-81.3506666666667,27.1507777777778
"Dorycnium_spectabile","Barranco de los Cochinos",-16.8166666666667,28.3166666666667
"Dorycnium_spectabile","Barranco del Agua",-1.9,38.1166666666667
"Echinacea_angustifolia","Hays",-99.05,38.1333333333333
"Echinospartum_algibicum","Ronda",-5.15,36.7333333333333
"Eriogonum_longifolium_var._gnaphalifolium_2","Unburned",-81.35,27.1833333333333
"Erodium_paularense","Cañamares I",-2.23333333333333,40.45
"Erodium_paularense","Pinilla del Valle I",-3.81666666666667,40.9166666666667
"Eryngium_alpinum","BER",6.55,45.4166666666667
"Eryngium_alpinum","BOU",6.55,45.4166666666667
"Eryngium_alpinum","DES",6.55,45.4166666666667
"Eryngium_alpinum","PRA",6.71666666666667,45.3666666666667
"Eryngium_alpinum","PRB",6.71666666666667,45.3666666666667
"Eryngium_alpinum","PRC",6.71666666666667,45.3666666666667
"Eryngium_alpinum","PRD",6.55,45.4166666666667
"Eryngium_cuneifolium","16",-81.35,27.1333333333333
"Eryngium_cuneifolium","45",-81.35,27.1333333333333
"Eryngium_cuneifolium","54",-81.35,27.1333333333333
"Eryngium_cuneifolium","57",-81.35,27.1333333333333
"Eryngium_cuneifolium","70",-81.35,27.1333333333333
"Eryngium_cuneifolium","72",-81.35,27.1333333333333
"Eryngium_cuneifolium","85",-81.35,27.1333333333333
"Eryngium_cuneifolium","91",-81.35,27.1333333333333
"Euphorbia_fontqueriana","Puig de Massanella",2.8,39.8
"Geranium_sylvaticum_2","Hol municipality, Buskerud county (Southern Norway)",7.95,60.7
"Haplopappus_radiatus","1in",-117.3,44.4
"Haplopappus_radiatus","2in",-117.3,44.4
"Haplopappus_radiatus","3in",-117.3,44.4
"Haplopappus_radiatus","4in",-117.3,44.4
"Haplopappus_radiatus","5in",-117.3,44.4
"Hedyotis_nigricans","Hays",-99.05,38.1333333333333
"Helianthemum_juliae","Teide National Park",-16.5833333333333,28.25
"Helianthemum_polygonoides","Cordovilla",-5.4,40.95
"Helianthemum_teneriffae","Ladera de Güímar",-16.4333333333333,28.2833333333333
"Horkelia_congesta","Long Tom ACEC",-123.284583333333,44.1341666666667
"Hypericum_cumulicola","Site1; > 21 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site29; 10-11 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site29; 11-12 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site29; 12-13 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site29; 13-14 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site29; 9-10 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site32;  > 21 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site32; 1-2 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site32; 2-3 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site42;  3-4 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site42;  4-5 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site42; 2-3 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site42; 5-6 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site42; 6-7 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site45;  10-11 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site45;  9-10 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site45; 11-12 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site45; 12-13 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site45; 8-9 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site50;  4-5 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site50; 2-3 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site50; 3-4 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site50; 5-6 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site50; 6-7 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site57;  4-5 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site57; 2-3 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site57; 3-4 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site57; 5-6 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site57; 6-7 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site59;  > 21 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site62;  > 21 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site67;  10 - 11 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site67;  11 - 12 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site67;  8 - 9 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site67;  9 - 10 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site67; 12 - 13 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site87;  10 -  11 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site87;  11 - 12 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site87;  12 - 13 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site87;  13 - 14 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site87;  9 - 10 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site88;  10 - 11 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site88;  11 - 12 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site88;  12 - 13 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site88;  8 - 9 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site88;  9 - 10 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site91;  10 - 11 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site91;  11 - 12 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site91;  12 - 13 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site91;  8 - 9 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site91;  9 - 10 years after fire",-81.35,27.1666666666667
"Hypericum_cumulicola","Site93;  > 21 years after fire",-81.35,27.1666666666667
"Jurinea_fontqueri","Sierra de Mágina",-3.55,37.75
"Kosteletzkya_pentacarpos","Ricarda lagoon",2.10127777777778,41.2844444444444
"Laserpitium_longiradium","Sierra Nevada",-3.3,37.05
"Lesquerella_ovalifolia","Hays",-99.05,38.1333333333333
"Liatris_scariosa","Lisc 0",-87.9,41.5166666666667
"Liatris_scariosa","Lisc 1",-87.9,41.5166666666667
"Liatris_scariosa","Lisc 2",-87.9,41.5166666666667
"Limonium_erectum","Pangia",-2.9,40.3833333333333
"Limonium_malacitanum","El Chantal",-2.2,37.55
"Lomatium_bradshawii","Long Tom",-123.3,44.15
"Lomatium_cookii","Middle",-123.633333333333,42.1
"Lomatium_cookii","South",-123.633333333333,42.1
"Mammillaria_huitzilopochtli","S2",-96.9515555555556,17.9005277777778
"Opuntia_macrorhiza_2","Plot 102",-105.267583333333,40.0001388888889
"Opuntia_macrorhiza_2","Plot 28",-105.250722222222,39.9514444444444
"Opuntia_macrorhiza_2","Plot 52",-105.200555555556,39.9513888888889
"Opuntia_macrorhiza_2","Plot 57",-105.250333333333,39.95
"Opuntia_macrorhiza_2","Plot 61",-105.234305555556,39.9178333333333
"Opuntia_rastrera","Grassland",-103.75,26.6666666666667
"Opuntia_rastrera","Nopalera",-103.75,26.6666666666667
"Orchis_purpurea","Light Environment 1",5.75,50.75
"Orchis_purpurea","Light Environment 2",5.75,50.75
"Orchis_purpurea","Light Environment 3",5.75,50.75
"Orchis_purpurea","Shaded site 1",5.75,50.75
"Orchis_purpurea","Shaded site 2",5.75,50.75
"Orchis_purpurea","Shaded site 3",5.75,50.75
"Paeonia_officinalis","Managed habitat",3.01666666666667,43.7666666666667
"Paeonia_officinalis","Open habitat",3.01666666666667,43.7666666666667
"Paeonia_officinalis","Woodland",3.01666666666667,43.7666666666667
"Parolinia_glabriuscula","Caldera de Bandama",-15.45,28.0333333333333
"Paronychia_jamesii","Hays",-99.05,38.1333333333333
"Phyllanthus_emblica_3","PHEM_1",77.0337777777778,38.8848611111111
"Plantago_coronopus_2","C",-9.01666666666667,42.55
"Plantago_coronopus_2","CA",-6.21666666666667,36.4166666666667
"Plantago_coronopus_2","DH",9.98333333333333,55.1333333333333
"Plantago_coronopus_2","DS",8.25,55.4833333333333
"Plantago_coronopus_2","EA",-1.91666666666667,57.3333333333333
"Plantago_coronopus_2","ES",-6.43333333333333,57.5
"Plantago_coronopus_2","F",-2.5,47.3
"Plantago_coronopus_2","SG",12.35,56.9166666666667
"Plantago_coronopus_2","ST",12.35,56.9166666666667
"Plantago_coronopus_2","T",-5.63333333333333,36.0333333333333
"Plantago_coronopus_2","TB",-9.05,43.1833333333333
"Primula_farinosa_4","Dröstorp 1",16.5348333333333,56.568
"Primula_farinosa_4","Dröstorp 2",16.5505,56.5836666666667
"Primula_farinosa_4","Tranekärr",16.5171666666667,56.5835
"Pseudomisopates_rivas-martinezii","Covacha",-5.1,40.5
"Pseudomisopates_rivas-martinezii","Serrota",-5.18333333333333,40.3
"Psoralea_tenuiflora","Hays",-99.2,38.8
"Purshia_subintegra","Dry",-111.983333333333,34.7333333333333
"Purshia_subintegra","Moist",-111.983333333333,34.7333333333333
"Pyrrocoma_radiata","Gentle, east-facing slope",-117.3013,44.4012
"Pyrrocoma_radiata","Gentle, west-facing slope",-117.3177,44.4679
"Pyrrocoma_radiata","South-facing slope",-117.317134444444,44.4011163888889
"Pyrrocoma_radiata","West-facing slope",-117.3183,44.4676
"Ramonda_myconi","Grau",1.56666666666667,42.3333333333333
"Ramonda_myconi","Ingla1",1.78333333333333,42.3166666666667
"Ramonda_myconi","Ingla2",1.78333333333333,42.3166666666667
"Ramonda_myconi","Pi",1.75,42.35
"Ramonda_myconi","Urus",1.85,42.35
"Ranunculus_peltatus","Island of Askö",16,59.1333333333333
"Ratibida_columnifera","Hays",-99.2,38.8
"Rumex_rupestris","Costa da Morte",-9.25,43
"Santolina_melidensis","Santiso-Palas",-8.05,42.85
"Silene_acaulis","Campion Crest",-142.816666666667,61.55
"Silene_acaulis","Gulch",-142.883333333333,61.4833333333333
"Silene_acaulis","Pass",-142.833333333333,61.55
"Silene_acaulis","Ridge",-142.816666666667,61.55
"Silene_acaulis","Rock Glacier",-142.833333333333,61.55
"Silene_spaldingii","Eureka",-115.05,48.9666666666667
"Solidago_mollis","Hays",-99.2,38.8
"Sphaeralcea_coccinea","Hays",-99.2,38.8
"Thelesperma_megapotamicum","Hays",-99.2,38.8
"Tillandsia_macdougallii","Santa Catarina Ixtepeji",-96.5666666666667,17.2666666666667
"Trillium_ovatum","Big Creek, Bitterroot Valley (Bitterroot National Forest)",-114.201138888889,46.4514722222222
"Trillium_ovatum","Grant Creek, Missoula Valley (Lolo National Forest)",-113.983444444444,46.9838888888889
"Trillium_ovatum","Spring Gulch, Rattlesnake drainage (Lolo National Forest)",-113.966944444444,46.9341666666667
"Vella_pseudocytisus_subsp._paui","Villalba Baja",-1.06666666666667,40.4166666666667
"Vella_pseudocytisus_subsp._paui","Villel",-1.18333333333333,40.2333333333333
"Vella_pseudocytisus_subsp._paui_2","Villalba",-1.06886111111111,40.4171388888889
"Vella_pseudocytisus_subsp._paui_2","Villel",-1.18430555555556,40.2335
"Vella_pseudocytisus_subsp._pseudocytisus","Aranjuez",-3.6,40.0166666666667
"Vella_pseudocytisus_subsp._pseudocytisus","Orce",-2.46666666666667,37.7166666666667
"Viola_biflora","No sheep",8,60.6666666666667
